"Mnozstvi","Rok","Doprava","Latka","Jednotka"
354.3462529424011,"2015","individualni_automobilova","N2O","t"
366.10399204881986,"2016","individualni_automobilova","N2O","t"
374.1042943455286,"2017","individualni_automobilova","N2O","t"
377.12909875271146,"2018","individualni_automobilova","N2O","t"
46.360719928086866,"1993","verejna_silnicni_autobusy","N2O","t"
42.57716902976238,"1994","verejna_silnicni_autobusy","N2O","t"
32.29112719636696,"1995","verejna_silnicni_autobusy","N2O","t"
26.178240570601947,"1996","verejna_silnicni_autobusy","N2O","t"
22.60567654254553,"1997","verejna_silnicni_autobusy","N2O","t"
25.778963492979248,"1998","verejna_silnicni_autobusy","N2O","t"
21.995907483342762,"1999","verejna_silnicni_autobusy","N2O","t"
20.69179943110168,"2000","verejna_silnicni_autobusy","N2O","t"
19.905611685703455,"2001","verejna_silnicni_autobusy","N2O","t"
17.965617478418135,"2002","verejna_silnicni_autobusy","N2O","t"
17.505741113781504,"2003","verejna_silnicni_autobusy","N2O","t"
16.099329423178027,"2004","verejna_silnicni_autobusy","N2O","t"
16.405068210149086,"2005","verejna_silnicni_autobusy","N2O","t"
15.986636171817771,"2006","verejna_silnicni_autobusy","N2O","t"
15.524201255626986,"2007","verejna_silnicni_autobusy","N2O","t"
16.053820602332674,"2008","verejna_silnicni_autobusy","N2O","t"
18.880861178004423,"2009","verejna_silnicni_autobusy","N2O","t"
20.737994563782497,"2010","verejna_silnicni_autobusy","N2O","t"
21.595033030416737,"2011","verejna_silnicni_autobusy","N2O","t"
22.365230631774708,"2012","verejna_silnicni_autobusy","N2O","t"
21.18313565281214,"2013","verejna_silnicni_autobusy","N2O","t"
23.715961170416023,"2014","verejna_silnicni_autobusy","N2O","t"
22.617393986567148,"2015","verejna_silnicni_autobusy","N2O","t"
22.116616936620495,"2016","verejna_silnicni_autobusy","N2O","t"
21.265751008015208,"2017","verejna_silnicni_autobusy","N2O","t"
18.894302604861664,"2018","verejna_silnicni_autobusy","N2O","t"
108.33542889652436,"1993","silnicni_nakladni","N2O","t"
115.28283946423346,"1994","silnicni_nakladni","N2O","t"
96.63195364231677,"1995","silnicni_nakladni","N2O","t"
88.6425492199549,"1996","silnicni_nakladni","N2O","t"
86.0334808035504,"1997","silnicni_nakladni","N2O","t"
99.69297501432625,"1998","silnicni_nakladni","N2O","t"
97.48201335248405,"1999","silnicni_nakladni","N2O","t"
100.50475570880302,"2000","silnicni_nakladni","N2O","t"
93.24642043074778,"2001","silnicni_nakladni","N2O","t"
95.39111235362019,"2002","silnicni_nakladni","N2O","t"
105.70256621064664,"2003","silnicni_nakladni","N2O","t"
112.25394142956276,"2004","silnicni_nakladni","N2O","t"
126.09016109916168,"2005","silnicni_nakladni","N2O","t"
142.36323507924442,"2006","silnicni_nakladni","N2O","t"
150.51504088029358,"2007","silnicni_nakladni","N2O","t"
163.40517453988542,"2008","silnicni_nakladni","N2O","t"
161.357431076811,"2009","silnicni_nakladni","N2O","t"
161.6014187962641,"2010","silnicni_nakladni","N2O","t"
169.10773146306616,"2011","silnicni_nakladni","N2O","t"
177.77780967357344,"2012","silnicni_nakladni","N2O","t"
181.5959804675195,"2013","silnicni_nakladni","N2O","t"
189.96398732883466,"2014","silnicni_nakladni","N2O","t"
203.6819986108167,"2015","silnicni_nakladni","N2O","t"
214.6815849164816,"2016","silnicni_nakladni","N2O","t"
217.18554825694127,"2017","silnicni_nakladni","N2O","t"
216.80524041771145,"2018","silnicni_nakladni","N2O","t"
3.494809341884956,"1993","motocykly","N2O","t"
3.955180328893916,"1994","motocykly","N2O","t"
3.9352269042285144,"1995","motocykly","N2O","t"
4.195684158198652,"1996","motocykly","N2O","t"
4.04713839887682,"1997","motocykly","N2O","t"
