"Hodnota","Jednotka","Rok","Vyuziti","Material"
5519.187,"tis. tun","2014","Energetické využití","Dřevo"
126418,"tis. tun","2015","Vzniklé obal. odpady","Dřevo"
86791,"tis. tun","2015","Recyklace celkem","Dřevo"
5507,"tis. tun","2015","Energetické využití","Dřevo"
144376.9003,"tis. tun","2016","Vzniklé obal. odpady","Dřevo"
92203.3855,"tis. tun","2016","Recyklace celkem","Dřevo"
4984.291700000001,"tis. tun","2016","Energetické využití","Dřevo"
143233.2535,"tis. tun","2017","Vzniklé obal. odpady","Dřevo"
73305.6196,"tis. tun","2017","Recyklace celkem","Dřevo"
4844.985,"tis. tun","2017","Energetické využití","Dřevo"
169982.0066,"tis. tun","2018","Vzniklé obal. odpady","Dřevo"
76426.4918,"tis. tun","2018","Recyklace celkem","Dřevo"
3034.1684000000096,"tis. tun","2018","Energetické využití","Dřevo"
27785.556000000004,"tis. tun","2009","Vzniklé obal. odpady","Jiné"
2973.254,"tis. tun","2009","Recyklace celkem","Jiné"
867.36,"tis. tun","2009","Energetické využití","Jiné"
28382.3663,"tis. tun","2010","Vzniklé obal. odpady","Jiné"
3359.6959,"tis. tun","2010","Recyklace celkem","Jiné"
519.3327,"tis. tun","2010","Energetické využití","Jiné"
28515,"tis. tun","2011","Vzniklé obal. odpady","Jiné"
544,"tis. tun","2011","Recyklace celkem","Jiné"
443,"tis. tun","2011","Energetické využití","Jiné"
27660.89,"tis. tun","2012","Vzniklé obal. odpady","Jiné"
3910.8436,"tis. tun","2012","Recyklace celkem","Jiné"
60.54899999999998,"tis. tun","2012","Energetické využití","Jiné"
27822.82,"tis. tun","2013","Vzniklé obal. odpady","Jiné"
4267.01,"tis. tun","2013","Recyklace celkem","Jiné"
454.111,"tis. tun","2013","Energetické využití","Jiné"
28196.072099999998,"tis. tun","2014","Vzniklé obal. odpady","Jiné"
3973.0732,"tis. tun","2014","Recyklace celkem","Jiné"
421.8838,"tis. tun","2014","Energetické využití","Jiné"
30081,"tis. tun","2015","Vzniklé obal. odpady","Jiné"
4256,"tis. tun","2015","Recyklace celkem","Jiné"
376,"tis. tun","2015","Energetické využití","Jiné"
30704,"tis. tun","2016","Vzniklé obal. odpady","Jiné"
4994,"tis. tun","2016","Recyklace celkem","Jiné"
650,"tis. tun","2016","Energetické využití","Jiné"
31429.7864,"tis. tun","2017","Vzniklé obal. odpady","Jiné"
4949.606100000001,"tis. tun","2017","Recyklace celkem","Jiné"
516.6989,"tis. tun","2017","Energetické využití","Jiné"
33352.1765,"tis. tun","2018","Vzniklé obal. odpady","Jiné"
4853.8804,"tis. tun","2018","Recyklace celkem","Jiné"
773.6226999999999,"tis. tun","2018","Energetické využití","Jiné"
