"Hodnota","Jednotka","Rok","Latka","Stat"
"7495","Kilogram ",2017,"Plant growth regulators","Luxembourg"
"203047","Kilogram ",2017,"Plant growth regulators","Hungary"
"0","Kilogram ",2017,"Plant growth regulators","Malta"
"386011","Kilogram ",2017,"Plant growth regulators","Netherlands"
"81701","Kilogram ",2017,"Plant growth regulators","Austria"
"2150454","Kilogram ",2017,"Plant growth regulators","Poland"
"5748","Kilogram ",2017,"Plant growth regulators","Portugal"
"428404","Kilogram ",2017,"Plant growth regulators","Romania"
"3670","Kilogram ",2017,"Plant growth regulators","Slovenia"
"201950","Kilogram ",2017,"Plant growth regulators","Slovakia"
"92763","Kilogram ",2017,"Plant growth regulators","Finland"
"32418","Kilogram ",2017,"Plant growth regulators","Sweden"
"","Kilogram ",2017,"Plant growth regulators","United Kingdom"
"5","Kilogram ",2017,"Plant growth regulators","Iceland"
"","Kilogram ",2017,"Plant growth regulators","Liechtenstein"
"53365","Kilogram ",2017,"Plant growth regulators","Norway"
"27776","Kilogram ",2017,"Plant growth regulators","Switzerland"
"","Kilogram ",2017,"Plant growth regulators","Montenegro"
"","Kilogram ",2017,"Plant growth regulators","North Macedonia"
"","Kilogram ",2017,"Plant growth regulators","Albania"
"","Kilogram ",2017,"Plant growth regulators","Serbia"
"2670705","Kilogram ",2017,"Plant growth regulators","Turkey"
"","Kilogram ",2017,"Other plant protection products","European Union - 27 countries (from 2020)"
"","Kilogram ",2017,"Other plant protection products","European Union - 28 countries (2013-2020)"
"","Kilogram ",2017,"Other plant protection products","Euro area - 19 countries  (from 2015)"
"737491","Kilogram ",2017,"Other plant protection products","Belgium"
"","Kilogram ",2017,"Other plant protection products","Bulgaria"
"291203","Kilogram ",2017,"Other plant protection products","Czechia"
"1265","Kilogram ",2017,"Other plant protection products","Denmark"
"176496","Kilogram ",2017,"Other plant protection products","Germany (until 1990 former territory of the FRG)"
"","Kilogram ",2017,"Other plant protection products","Estonia"
"8804","Kilogram ",2017,"Other plant protection products","Ireland"
"174100","Kilogram ",2017,"Other plant protection products","Greece"
"11117046","Kilogram ",2017,"Other plant protection products","Spain"
"2499598","Kilogram ",2017,"Other plant protection products","France"
"6202","Kilogram ",2017,"Other plant protection products","Croatia"
"13671753","Kilogram ",2017,"Other plant protection products","Italy"
"","Kilogram ",2017,"Other plant protection products","Cyprus"
"6675","Kilogram ",2017,"Other plant protection products","Latvia"
"","Kilogram ",2017,"Other plant protection products","Lithuania"
"","Kilogram ",2017,"Other plant protection products","Luxembourg"
"248758","Kilogram ",2017,"Other plant protection products","Hungary"
